Flavor,Comparison,Effect_Size_Diff,CI_Lower,CI_Upper,P_Value
TrajNorm_noStandardization,max_vel_minus_react,NaN,NaN,NaN,0
TrajNorm_noStandardization,ra_minus_react,0.391234423928413,-0.256275016889295,0.893470777276346,0.2648
TrajNorm_noStandardization,kb_rt_minus_react,0.878642397846266,0.177608860391731,1.53266236716504,0.0078
TrajNorm_noStandardization,head_angle_minus_react,0.109845365660464,-0.585876435392157,0.545035775022752,0.839
TrajNorm_noStandardization,iep_minus_react,0.139171915281289,-0.557060380332409,0.579414703122252,0.7694
TrajNorm_noStandardization,traj_minus_react,0.0139496877720502,-0.680714367416591,0.437904000353666,0.9174
TrajNorm_noStandardization,x_std_minus_react,0.0649559199535409,-0.595034873106258,0.462857823965281,0.9276
TrajNorm_noStandardization,vel_minus_react,NaN,NaN,NaN,0
TrajNorm_noStandardization,mt_minus_mad,0.242308651890348,-0.542031719701166,0.76672474682491,0.5822
TrajNorm_noStandardization,mt_minus_com,0.707199409467364,0.390313791643136,1.10927129146261,0
TrajNorm_noStandardization,mt_minus_tot_dist,0.220248562115313,-0.406686975203116,0.712024879370414,0.4342
TrajNorm_noStandardization,mt_minus_auc,0.45460773376296,0.0129155947112053,0.893247700331387,0.0438
TrajNorm_noStandardization,max_vel_minus_mt,NaN,NaN,NaN,0
TrajNorm_noStandardization,mt_minus_ra,0.483052666086715,0.0739968910806593,0.91614169306626,0.0214
TrajNorm_noStandardization,kb_rt_minus_mt,0.00435530783113758,-0.510207955876403,0.57808634046587,0.9646
TrajNorm_noStandardization,mt_minus_head_angle,0.764441724354665,0.406147675352301,1.20726004190821,0
TrajNorm_noStandardization,mt_minus_iep,0.73511517473384,0.373617343455492,1.18073364220849,0
TrajNorm_noStandardization,mt_minus_traj,0.860337402243079,0.499544241091969,1.30450362465044,0
TrajNorm_noStandardization,mt_minus_x_std,0.809331170061588,0.479149045635841,1.23292593328828,0
TrajNorm_noStandardization,vel_minus_mt,NaN,NaN,NaN,0
TrajNorm_noStandardization,mad_minus_com,0.464890757577015,0.138113051338044,1.15295018816763,0.0044
TrajNorm_noStandardization,tot_dist_minus_mad,0.0220600897750353,-0.552323267041939,0.390149295585678,0.9622
TrajNorm_noStandardization,mad_minus_auc,0.212299081872611,-0.0470530219373426,0.803222947219515,0.103
TrajNorm_noStandardization,max_vel_minus_mad,NaN,NaN,NaN,0
TrajNorm_noStandardization,mad_minus_ra,0.240744014196367,-0.0459078412277486,0.854534806558357,0.0964
TrajNorm_noStandardization,kb_rt_minus_mad,0.246663959721486,-0.612145145629783,0.976481193870202,0.6376
TrajNorm_noStandardization,mad_minus_head_angle,0.522133072464317,0.178987411439428,1.20333826035698,0.003
TrajNorm_noStandardization,mad_minus_iep,0.492806522843492,0.154814896379906,1.1703392100613,0.0038
TrajNorm_noStandardization,mad_minus_traj,0.61802875035273,0.255511755694827,1.3139636940962,0.0012
TrajNorm_noStandardization,mad_minus_x_std,0.567022518171239,0.14149709956878,1.32112730384146,0.0088
TrajNorm_noStandardization,vel_minus_mad,NaN,NaN,NaN,0
TrajNorm_noStandardization,tot_dist_minus_com,0.486950847352051,0.144604616447626,1.02133957413907,0.0046
TrajNorm_noStandardization,auc_minus_com,0.252591675704404,0.0124818963681065,0.574962735713585,0.0384
TrajNorm_noStandardization,max_vel_minus_com,NaN,NaN,NaN,0
TrajNorm_noStandardization,ra_minus_com,0.224146743380649,-0.00721890167664402,0.513859556663663,0.0564
TrajNorm_noStandardization,kb_rt_minus_com,0.711554717298501,0.297479237309293,1.27113775217782,0.0012
TrajNorm_noStandardization,com_minus_head_angle,0.0572423148873012,-0.241297210530234,0.344459677252901,0.6932
